IP|subscriptionId|NetworkName|peeringState|peeringSyncLevel|Hashed
10.0.0.0/24|f406059a-f933-45e0-aefe-e37e0382d5de|Network1|Connected|FullyInSync|37ef7ef83ff2b5f21be63f46c4db908e
10.0.1.0/27|f406059a-f933-45e0-aefe-e37e0382d5de|Network2|Connected|FullyInSync|6ecfa9622303fe3b3ea657ec350b60dc
10.0.1.32/27|f406059a-f933-45e0-aefe-e37e0382d5de|Network3|Connected|FullyInSync|852f34a82c6a4d45f1214a7e0323fdfe
10.0.1.64/27|f406059a-f933-45e0-aefe-e37e0382d5de|Network4|Connected|FullyInSync|72b932646ab09cf4c5fd794029599616
10.0.1.96/27|f406059a-f933-45e0-aefe-e37e0382d5de|Network5|Connected|FullyInSync|5a2bbcf91fe7d92c06a84d8b3eba5e0e
10.0.1.128/29||Reserved|||140d33899b89a13456c7e3ec1796349e
10.0.1.136/29||Reserved|||1d12c51dfb92cf8cac61a77b568c8f51
10.0.1.144/29||Reserved|||aa2fe230a0839ad047e1c0c957331e90
10.0.1.152/29||Reserved|||288e4862f55207d3d2c2f4df91479412
10.0.1.160/29||Reserved|||8310123806167cbf695f4c4c50bee05d
10.0.1.168/29|||||
10.0.1.176/29|||||
10.0.1.184/29|||||
10.0.1.192/27|||||
10.0.1.224/27|||||
10.0.2.0/26|f406059a-f933-45e0-aefe-e37e0382d5de|Network6|Connected|FullyInSync|2beb324836abe7d62595d0b3786495c6
10.0.2.64/26|||||
10.0.2.128/26|||||
10.0.2.192/26|||||
10.0.3.0/24||Reserved|||b551332a7cdadad7d42effce4efbcaf1
10.0.4.0/24|||||
10.0.5.0/24|||||
10.0.6.0/24|||||
10.0.7.0/24|||||
10.0.8.0/24|||||
10.0.9.0/24|||||
10.0.10.0/24|||||
10.0.11.0/24|||||
10.0.12.0/24|||||
10.0.13.0/24|||||
10.0.14.0/24|||||
10.0.15.0/24|||||
172.16.168.0/21|20f105d9-0e32-43bb-bd88-3f616a393940|spoke-vnet-2|Connected|FullyInSync|ad87cd363c5873b6806472c82a1e702a
172.168.10.0/24|f406059a-f933-45e0-aefe-e37e0382d5de|spoke-vnet|Connected|FullyInSync|7c8f107972dd4c7c236627034e6654ce
172.168.11.0/24|f406059a-f933-45e0-aefe-e37e0382d5de|spoke-vnet|Connected|FullyInSync|b8965af51ee81c1124185a1bb0779f81
192.168.168.0/21|20f105d9-0e32-43bb-bd88-3f616a393940|spoke-vnet-2|Connected|FullyInSync|d5d5bf4ed38bb73c59a195f857858ca7
